timestamp,equity,cash,holdings,holdings_value
2025-07-12 23:26:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-12 23:27:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-12 23:28:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-12 23:29:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-12 23:30:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-12 23:31:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-12 23:32:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-12 23:33:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-12 23:34:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-12 23:35:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-12 23:36:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-12 23:37:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-12 23:38:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-12 23:39:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-12 23:40:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-12 23:41:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-12 23:42:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-12 23:43:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-12 23:44:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-12 23:45:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-12 23:46:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-12 23:47:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-12 23:48:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-12 23:49:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-12 23:50:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-12 23:51:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-12 23:52:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-12 23:53:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-12 23:54:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-12 23:55:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-12 23:56:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-12 23:57:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-12 23:58:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-12 23:59:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:00:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:01:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:02:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:03:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:04:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:05:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:06:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:07:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:08:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:09:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:10:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:11:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:12:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:13:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:14:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:15:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:16:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:17:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:18:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:19:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:20:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:21:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:22:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:23:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:24:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:25:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:26:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:27:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:28:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:29:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:30:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:31:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:32:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:33:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:34:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:35:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:36:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:37:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:38:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:39:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:40:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:41:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:42:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:43:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:44:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:45:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:46:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:47:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:48:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:49:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:50:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:51:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:52:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:53:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:54:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:55:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:56:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:57:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:58:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 00:59:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:00:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:01:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:02:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:03:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:04:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:05:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:06:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:07:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:08:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:09:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:10:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:11:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:12:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:13:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:14:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:15:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:16:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:17:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:18:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:19:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:20:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:21:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:22:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:23:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:24:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:25:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:26:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:27:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:28:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:29:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:30:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:31:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:32:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:33:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:34:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:35:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:36:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:37:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:38:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:39:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:40:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:41:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:42:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:43:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:44:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:45:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:46:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:47:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:48:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:49:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:50:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:51:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:52:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:53:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:54:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:55:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:56:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:57:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:58:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 01:59:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:00:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:01:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:02:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:03:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:04:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:05:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:06:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:07:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:08:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:09:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:10:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:11:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:12:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:13:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:14:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:15:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:16:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:17:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:18:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:19:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:20:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:21:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:22:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:23:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:24:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:25:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:26:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:27:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:28:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:29:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:30:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:31:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:32:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:33:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:34:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:35:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:36:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:37:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:38:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:39:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:40:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:41:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:42:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:43:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:44:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:45:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:46:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:47:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:48:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:49:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:50:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:51:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:52:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:53:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:54:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:55:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:56:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:57:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:58:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 02:59:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:00:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:01:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:02:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:03:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:04:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:05:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:06:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:07:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:08:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:09:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:10:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:11:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:12:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:13:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:14:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:15:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:16:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:17:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:18:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:19:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:20:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:21:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:22:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:23:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:24:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:25:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:26:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:27:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:28:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:29:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:30:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:31:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:32:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:33:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:34:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:35:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:36:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:37:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:38:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:39:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:40:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:41:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:42:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:43:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:44:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:45:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:46:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:47:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:48:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:49:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:50:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:51:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:52:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:53:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:54:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:55:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:56:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:57:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:58:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 03:59:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:00:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:01:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:02:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:03:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:04:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:05:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:06:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:07:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:08:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:09:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:10:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:11:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:12:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:13:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:14:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:15:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:16:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:17:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:18:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:19:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:20:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:21:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:22:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:23:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:24:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:25:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:26:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:27:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:28:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:29:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:30:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:31:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:32:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:33:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:34:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:35:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:36:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:37:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:38:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:39:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:40:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:41:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:42:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:43:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:44:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:45:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:46:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:47:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:48:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:49:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:50:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:51:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:52:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:53:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:54:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:55:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:56:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:57:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:58:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 04:59:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 05:00:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 05:01:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 05:02:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 05:03:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 05:04:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
2025-07-13 05:05:00+00:00,102830.68176829505,102830.68176829505,0.0,0.0
